Wood Type,Grade,Moment of Inertia (psi)*10^6,
Northern Red Oak,Construction,1.2,
Northern Red Oak,Standard,1.1,
Northern Red Oak,Utility,1,
Nothern Species,Select Structural,1.1,
Nothern Species,No.1/ No.2,1.1,
Nothern Species,No.3,1,
Nothern Species,Stud,1,
Nothern Species,Construction,1,
Nothern Species,Standard,0.9,
Nothern Species,Utility,0.9,
Northern White Cedar,Select Structural,0.8,
Northern White Cedar,No.1,0.7,
Northern White Cedar,No.2,0.7,
Northern White Cedar,No.3,0.6,
Northern White Cedar,Stud,0.6,
Northern White Cedar,Construction,0.7,
Northern White Cedar,Standard,0.6,
Northern White Cedar,Utility,0.6,
Red Maple,Select Structural,1.7,
Red Maple,No.1,1.6,
Red Maple,No.2,1.5,
Red Maple,No.3,1.3,
Red Maple,Stud,1.3,
Red Maple,Construction,1.4,
Red Maple,Standard,1.3,
Red Maple,Utility,1.2,
